miRNA,log2FC,p_value,adj_p,Direction,Significant
hsa-miR-1248,2.0940223479490907,0.19804621392891988,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1249,-1.8856989571575378,0.21636991049649992,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1254,3.8679911533208253,0.374406561860691,0.5546333230048124,Up_in_LUAD,False
hsa-miR-1255a,-32.71495330903239,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1256,-28.377934483638825,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-125a-5p,1.1171083118246834,0.33933713410671806,0.5362329327587064,Up_in_LUAD,False
hsa-miR-125b-1-3p,-0.2505281255544505,0.8698260894091007,0.9261317960896004,Down_in_LUAD,False
hsa-miR-125b-2-3p,-1.6630591691428416,0.13157807269023997,0.5362329327587064,Down_in_LUAD,False
hsa-miR-125b-5p,-1.2355953356832519,0.16599896206945958,0.5362329327587064,Down_in_LUAD,False
hsa-miR-126-3p,-0.046093546146131814,0.9561171175786711,0.9795047882875186,Down_in_LUAD,False
hsa-miR-126-5p,0.027673804461560536,0.9769442883601229,0.9879514938201722,Up_in_LUAD,False
hsa-miR-1260b,-0.48648646347713465,0.7144393694430846,0.8211748896972323,Down_in_LUAD,False
hsa-miR-1262,-31.224448047591817,0.2210504200814601,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1268b,-30.997640019370245,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1269b,33.68508681520342,0.34089313230206,0.5362329327587064,Up_in_LUAD,False
hsa-miR-127-3p,-2.69947570590854,0.2803170076529265,0.5362329327587064,Down_in_LUAD,False
hsa-miR-127-5p,-33.061937771486505,0.29804545967107376,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1270,0.26377742439932117,0.8839914900816229,0.9352359080527994,Up_in_LUAD,False
hsa-miR-1271-5p,29.11145030500486,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1273h-3p,-0.02109582001528576,0.9883734106155093,0.9925349828707325,Down_in_LUAD,False
hsa-miR-1275,1.112464980335683,0.46839419025273843,0.6300144035920348,Up_in_LUAD,False
hsa-miR-1276,34.140386728224364,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1277-5p,-2.8502465712223617,0.19288542352395877,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1278,-29.3779344815709,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-128-1-5p,31.136684148676657,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-128-3p,-1.0272979748180138,0.10442294866757922,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1282,-0.392388873447044,0.8519731060201354,0.9165670604964772,Down_in_LUAD,False
hsa-miR-1284,-30.609158645685998,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1287-5p,-0.0504624967843319,0.9796667852766068,0.9879514938201722,Down_in_LUAD,False
hsa-miR-129-5p,-33.68017081852556,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1290,2.2151103181035947,0.4549761684310747,0.6147978253303757,Up_in_LUAD,False
hsa-miR-1291,1.2665946718913794,0.21331378635027848,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1292-3p,-4.605730805761414,0.22167331563085868,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1292-5p,-30.515438004192873,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1293,-31.927427869383024,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1294,-33.94970728428328,0.16125776803457903,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1295b-3p,-30.057650071234505,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1296-5p,2.715771156900426,0.3159220619172207,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1297,-0.11477413086469335,0.9422878812226092,0.9725178379740144,Down_in_LUAD,False
hsa-miR-1299,1.8885155901470356,0.49274009862481893,0.6501715824178108,Up_in_LUAD,False
hsa-miR-1301-3p,0.3409202410268617,0.8421316187035204,0.9150268385457385,Up_in_LUAD,False
hsa-miR-1304-5p,-29.250295150145142,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1306-3p,36.559464283309005,0.30967230256811373,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1306-5p,2.1120274456323314,0.4695390366393466,0.6300144035920348,Up_in_LUAD,False
hsa-miR-1307-3p,-0.43010899934345304,0.654653289261441,0.7729446014299687,Down_in_LUAD,False
hsa-miR-1307-5p,1.5717452188114454,0.3605204213721467,0.5479240953076542,Up_in_LUAD,False
hsa-miR-130a-3p,-0.9150974580816058,0.303524718268675,0.5362329327587064,Down_in_LUAD,False
